gender,age,number_of_dependents,number_of_referrals,tenure_in_months,offer,internet_service,internet_type,avg_monthly_gb_download,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,churn_value,avg_monthly_spending,revenue_minus_refunds,contract_length_months,has_streaming,has_phone_service,has_multiple_lines,has_online_security,has_online_backup,has_device_protection_plan,has_premium_tech_support,has_streaming_tv,has_streaming_movies,has_streaming_music,has_unlimited_data,has_paperless_billing,num_services
Male,42,3,3,54,,No,,0,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.3999999999996,0,20.196296296296296,2154.3999999999996,24,False,1,0,0,0,0,0,0,0,0,0,0,1
Male,64,0,0,26,Offer C,No,,0,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8000000000002,0,18.148076923076925,1409.5500000000002,12,False,1,0,0,0,0,0,0,0,0,0,1,1
Female,47,3,5,69,,No,,0,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,0,20.244927536231884,4045.81,24,False,1,0,0,0,0,0,0,0,0,0,0,1
Male,23,3,1,37,Offer C,Yes,Fiber Optic,51,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,0,87.77162162162162,4838.92,12,True,1,0,0,0,0,0,1,1,1,1,0,5
Female,48,0,5,49,Offer B,No,,0,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,0,18.385714285714286,3330.32,12,False,1,0,0,0,0,0,0,0,0,0,0,1
Male,28,0,9,66,,Yes,Fiber Optic,41,Bank Withdrawal,115.8,7942.15,0.0,0,2888.82,10830.97,0,120.33560606060605,10830.97,12,True,1,1,1,1,1,1,1,1,1,1,0,9
Female,28,0,0,67,,No,,0,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,0,20.050746268656717,2831.3799999999997,12,False,1,0,0,0,0,0,0,0,0,0,0,1
Male,33,1,4,20,,Yes,Cable,22,Credit Card,39.4,825.4,0.0,0,0.0,825.4,0,41.269999999999996,825.4,24,False,0,0,1,0,1,1,0,0,0,1,1,4
Female,31,3,0,43,,No,,0,Bank Withdrawal,25.1,1070.15,0.0,0,1317.52,2387.67,0,24.887209302325584,2387.67,24,False,1,1,0,0,0,0,0,0,0,0,1,1
Female,37,0,2,55,Offer B,Yes,Fiber Optic,9,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,0,90.17454545454547,5239.0,1,True,1,1,1,0,0,0,1,0,0,1,1,4
Female,60,0,4,59,Offer B,Yes,Fiber Optic,14,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,0,94.87542372881356,6564.66,1,True,1,1,1,1,0,0,1,0,0,1,1,5
Female,48,3,3,12,,No,,0,Bank Withdrawal,20.3,224.5,0.0,0,231.36,455.86,0,18.708333333333332,455.86,24,False,1,0,0,0,0,0,0,0,0,0,0,1
Male,60,3,7,27,Offer C,Yes,Fiber Optic,23,Bank Withdrawal,75.75,1929.0,0.0,0,682.0200000000001,2611.02,0,71.44444444444444,2611.02,1,False,1,1,0,0,0,0,0,0,0,1,1,2
Male,69,0,0,2,,Yes,DSL,27,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.07999999999998,1,45.55,179.07999999999998,1,False,1,0,1,0,0,0,0,0,0,1,1,3
Female,20,0,0,27,Offer C,Yes,DSL,59,Credit Card,78.2,2078.95,0.0,0,1320.57,3399.5199999999995,0,76.99814814814815,3399.5199999999995,12,True,1,0,0,1,1,1,1,1,1,1,0,8
Male,31,3,1,25,,No,,0,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,0,25.224,1134.01,24,False,1,1,0,0,0,0,0,0,0,0,0,1
Male,46,0,5,25,,Yes,Cable,19,Bank Withdrawal,61.6,1611.0,44.9,0,161.25,1727.35,0,64.44,1682.4499999999998,12,False,1,0,1,1,1,0,0,0,0,1,1,5
Male,57,1,0,29,,Yes,DSL,21,Credit Card,45.0,1242.45,12.26,0,0.0,1230.19,0,42.84310344827586,1217.93,1,False,0,0,1,1,1,1,0,0,0,1,1,5
Male,19,0,5,72,,Yes,DSL,52,Bank Withdrawal,85.15,6316.2,0.0,0,2329.92,8646.119999999999,0,87.725,8646.119999999999,24,True,1,1,0,1,1,1,1,1,1,1,1,8
Female,64,0,0,14,,Yes,Cable,12,Credit Card,51.45,727.85,0.0,0,336.56,1064.41,0,51.989285714285714,1064.41,12,False,1,0,0,1,0,0,0,0,0,1,0,3
Female,38,0,0,35,Offer C,Yes,Fiber Optic,2,Bank Withdrawal,99.25,3532.0,0.0,0,1274.7,4806.7,0,100.91428571428571,4806.7,12,True,1,0,0,0,1,1,1,1,1,1,1,7
Male,54,0,0,1,Offer E,Yes,DSL,9,Credit Card,44.3,44.3,0.0,0,42.95,87.25,0,44.3,87.25,1,False,1,0,0,0,0,0,0,0,0,1,1,2
Male,50,0,0,29,,Yes,Fiber Optic,17,Bank Withdrawal,94.2,2607.6,0.0,20,59.449999999999996,2687.0499999999997,0,89.91724137931034,2687.0499999999997,1,True,1,0,0,0,0,1,1,1,1,0,1,6
Male,25,0,0,64,,Yes,DSL,69,Bank Withdrawal,81.25,5567.55,0.0,40,351.36,5958.91,0,86.99296875,5958.91,12,True,1,1,1,1,1,1,1,0,0,0,0,7
Female,35,3,1,39,,Yes,Fiber Optic,53,Credit Card,99.95,3767.4,0.0,0,950.8199999999999,4718.22,0,96.60000000000001,4718.22,1,True,1,1,0,0,0,1,1,1,1,1,1,6
Female,72,0,0,40,,Yes,Fiber Optic,23,Bank Withdrawal,91.55,3673.6,0.0,0,1765.6,5439.2,0,91.84,5439.2,24,True,1,0,0,0,0,0,1,1,0,1,1,4
Male,51,0,0,40,,Yes,Fiber Optic,15,Credit Card,104.5,4036.85,0.0,0,1507.6,5544.45,1,100.92125,5544.45,1,True,1,1,0,1,1,0,1,1,1,1,1,7
Female,78,1,0,11,Offer D,Yes,Fiber Optic,29,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,1,101.84545454545454,1367.79,1,True,1,0,0,1,0,0,1,1,0,0,1,5
Female,30,0,10,6,Offer E,Yes,Cable,85,Bank Withdrawal,50.35,314.55,0.0,0,255.95999999999998,570.51,0,52.425000000000004,570.51,1,False,1,1,0,0,0,0,0,0,0,1,0,2
Male,58,0,0,30,,Yes,DSL,15,Mailed Check,64.5,1888.45,0.0,0,79.2,1967.65,0,62.94833333333334,1967.65,1,True,1,1,1,0,0,0,0,1,1,1,1,5
Male,26,0,0,27,,No,,0,Bank Withdrawal,19.4,529.8,0.0,0,557.82,1087.62,0,19.62222222222222,1087.62,1,False,1,0,0,0,0,0,0,0,0,0,1,1
Male,66,0,3,70,,Yes,Fiber Optic,28,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,10067.14,0,104.41357142857143,10061.029999999999,12,True,1,1,0,1,1,0,1,1,0,1,1,6
Female,20,0,10,57,Offer B,Yes,Fiber Optic,73,Bank Withdrawal,109.4,6252.7,0.0,0,456.57,6709.2699999999995,0,109.69649122807017,6709.2699999999995,12,True,1,1,0,1,1,1,1,1,1,1,1,8
Male,61,0,10,58,,Yes,DSL,18,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78,0,49.630172413793105,3923.55,12,False,1,0,0,0,1,0,0,0,0,1,0,3
Male,24,0,0,16,,Yes,DSL,48,Bank Withdrawal,71.4,1212.1,0.0,0,411.36,1623.46,0,75.75625,1623.46,1,True,1,1,0,1,1,0,0,1,1,1,1,6
Female,55,0,3,69,Offer A,Yes,Fiber Optic,27,Bank Withdrawal,116.0,8182.85,0.0,0,2657.88,10840.73,0,118.59202898550726,10840.73,24,True,1,1,1,1,1,1,1,1,1,1,1,9
Male,32,0,0,1,Offer E,No,,0,Bank Withdrawal,19.85,19.85,0.0,0,31.77,51.620000000000005,1,19.85,51.620000000000005,1,False,1,0,0,0,0,0,0,0,0,0,1,1
Male,59,0,0,1,,Yes,Fiber Optic,25,Bank Withdrawal,99.75,99.75,0.0,0,40.71,140.46,1,99.75,140.46,1,True,1,1,0,0,1,0,1,1,1,1,1,6
Male,71,1,9,32,Offer C,Yes,Fiber Optic,23,Mailed Check,93.95,2861.45,0.0,0,1019.52,3880.97,0,89.4203125,3880.97,12,True,1,0,0,1,0,0,1,1,1,1,1,6
Male,49,2,8,16,Offer D,Yes,Fiber Optic,12,Bank Withdrawal,90.8,1442.2,0.0,0,779.36,2221.56,0,90.1375,2221.56,1,True,1,1,0,0,1,0,1,0,0,1,1,4
Male,61,0,1,49,Offer B,Yes,Cable,10,Bank Withdrawal,84.35,4059.35,0.0,0,1937.9499999999998,5997.299999999999,1,82.84387755102041,5997.299999999999,12,True,1,1,1,0,1,1,1,1,1,1,0,8
Female,40,0,2,71,Offer A,Yes,Cable,29,Bank Withdrawal,58.25,4145.9,0.0,0,0.0,4145.9,0,58.39295774647887,4145.9,24,True,0,0,0,1,1,1,1,1,1,1,0,7
Female,39,0,0,33,,Yes,Fiber Optic,12,Bank Withdrawal,107.55,3645.5,0.0,0,1639.77,5285.27,0,110.46969696969697,5285.27,1,True,1,1,0,1,1,0,1,1,1,1,0,7
Female,21,0,9,10,Offer D,No,,0,Bank Withdrawal,19.95,187.75,0.0,0,496.0,683.75,0,18.775,683.75,1,False,1,0,0,0,0,0,0,0,0,0,1,1
Male,24,0,1,21,,Yes,Fiber Optic,59,Bank Withdrawal,111.2,2317.1,0.0,120,761.4599999999999,3198.56,1,110.33809523809524,3198.56,1,True,1,1,0,1,1,1,1,1,1,0,1,8
Male,52,1,1,37,,Yes,DSL,23,Bank Withdrawal,40.2,1448.8,0.0,0,0.0,1448.8,1,39.15675675675676,1448.8,1,False,0,0,1,1,1,0,0,0,0,1,0,4
Female,71,0,0,26,,Yes,Fiber Optic,7,Credit Card,85.8,2193.65,0.0,0,877.24,3070.8900000000003,0,84.37115384615385,3070.8900000000003,1,True,1,0,1,0,0,0,1,0,0,1,1,4
Male,45,0,0,50,Offer B,Yes,DSL,7,Credit Card,35.4,1748.9,0.0,0,0.0,1748.9,0,34.978,1748.9,12,False,0,0,1,0,0,1,0,0,0,1,1,3
Female,29,0,0,7,,Yes,Fiber Optic,26,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.5600000000001,1,73.03571428571429,685.5300000000001,1,True,1,1,0,0,0,0,0,0,1,1,1,3
Female,62,0,1,61,Offer B,Yes,DSL,28,Mailed Check,88.1,5526.75,0.0,0,2878.5899999999997,8405.34,0,90.60245901639344,8405.34,24,True,1,1,1,1,1,1,1,1,1,1,0,9
Male,42,0,0,15,Offer D,Yes,Fiber Optic,12,Bank Withdrawal,101.35,1553.95,0.0,0,688.8000000000001,2242.75,1,103.59666666666666,2242.75,1,True,1,0,0,0,1,1,1,1,1,1,1,7
Female,51,2,0,26,,Yes,DSL,19,Credit Card,45.8,1147.0,0.0,0,0.0,1147.0,0,44.11538461538461,1147.0,1,True,0,0,1,0,0,1,0,1,1,1,0,5
Male,39,0,9,72,,Yes,Fiber Optic,23,Bank Withdrawal,94.65,6747.35,0.0,0,2391.84,9139.19,0,93.71319444444445,9139.19,1,True,1,0,0,0,1,0,1,1,1,1,1,6
Male,64,0,1,44,,No,,0,Bank Withdrawal,20.5,865.05,0.0,0,1205.6,2070.6499999999996,0,19.660227272727273,2070.6499999999996,12,False,1,0,0,0,0,0,0,0,0,0,1,1
Male,55,0,0,66,Offer A,Yes,Fiber Optic,8,Credit Card,89.4,5976.9,36.02,40,3219.48,9200.359999999999,0,90.5590909090909,9164.339999999998,1,True,1,1,0,1,0,0,0,1,1,0,0,5
Female,40,0,0,2,,Yes,Fiber Optic,16,Bank Withdrawal,86.25,181.65,0.0,0,73.62,255.27,1,90.825,255.27,1,False,1,0,1,1,0,1,0,0,0,1,1,5
Female,76,0,0,44,,Yes,DSL,17,Bank Withdrawal,74.85,3268.05,17.91,0,339.68,3589.82,0,74.27386363636364,3571.9100000000003,12,True,1,0,0,0,1,1,1,1,1,1,0,7
Female,57,0,0,12,Offer D,Yes,Fiber Optic,6,Bank Withdrawal,89.75,1052.4,0.0,0,172.56,1224.96,1,87.7,1224.96,1,True,1,1,0,1,0,0,1,0,0,1,1,4
Male,71,0,1,69,,Yes,Fiber Optic,17,Bank Withdrawal,109.95,7634.25,0.0,0,1270.29,8904.54,0,110.6413043478261,8904.54,24,True,1,1,0,1,1,1,1,1,0,1,1,7
Female,25,0,0,1,Offer E,Yes,Fiber Optic,69,Mailed Check,80.2,80.2,0.0,0,1.23,81.43,1,80.2,81.43,1,False,1,1,0,1,0,0,0,0,0,1,1,3
Female,24,0,0,3,Offer E,No,,0,Credit Card,19.85,63.75,0.0,0,77.25,141.0,1,21.25,141.0,1,False,1,0,0,0,0,0,0,0,0,0,0,1
Female,19,0,10,2,,Yes,Fiber Optic,53,Bank Withdrawal,90.35,190.5,0.0,0,9.3,199.8,0,95.25,199.8,1,True,1,0,1,1,0,0,1,0,0,1,0,5
Female,77,0,0,27,,Yes,Fiber Optic,4,Bank Withdrawal,86.45,2401.05,0.0,0,80.19000000000001,2481.2400000000002,0,88.92777777777779,2481.2400000000002,24,False,1,1,0,1,1,0,0,0,0,1,1,4
Male,57,0,0,26,Offer C,No,,0,Bank Withdrawal,20.3,511.25,0.0,0,346.84,858.0899999999999,0,19.66346153846154,858.0899999999999,1,False,1,0,0,0,0,0,0,0,0,0,1,1
Female,73,0,9,39,,Yes,Fiber Optic,21,Bank Withdrawal,101.25,3949.15,0.0,0,785.8499999999999,4735.0,0,101.26025641025642,4735.0,1,True,1,1,0,0,0,1,1,1,1,1,1,6
Male,41,0,0,25,,Yes,Fiber Optic,8,Bank Withdrawal,94.7,2362.1,0.0,0,872.0000000000001,3234.1,1,94.484,3234.1,1,True,1,1,0,0,0,0,1,1,1,1,1,5
Female,43,0,0,1,Offer E,Yes,Fiber Optic,23,Mailed Check,70.9,70.9,0.0,0,39.81,110.71000000000001,1,70.9,110.71000000000001,1,False,1,0,0,0,0,0,0,0,0,1,0,2
Male,48,0,1,22,Offer D,Yes,DSL,21,Bank Withdrawal,54.2,1152.7,0.0,0,599.28,1751.98,1,52.39545454545455,1751.98,1,False,1,0,1,0,0,1,0,0,0,1,1,4
Female,56,0,0,72,Offer A,Yes,Fiber Optic,5,Bank Withdrawal,114.9,8496.7,0.0,0,3482.64,11979.34,0,118.00972222222224,11979.34,24,True,1,1,1,1,1,1,1,1,1,1,1,9
Female,51,0,0,24,,No,,0,Bank Withdrawal,19.55,470.2,0.0,0,255.36,725.56,0,19.591666666666665,725.56,24,False,1,0,0,0,0,0,0,0,0,0,1,1
Female,34,0,8,19,,Yes,Fiber Optic,16,Bank Withdrawal,86.85,1564.4,0.0,0,148.96,1713.3600000000001,0,82.33684210526316,1713.3600000000001,1,True,1,1,0,0,0,0,1,0,0,1,1,3
Male,21,2,2,71,,No,,0,Credit Card,25.35,1847.55,0.0,0,653.1999999999999,2500.75,0,26.021830985915493,2500.75,24,False,1,1,0,0,0,0,0,0,0,0,0,1
Male,78,0,7,33,,Yes,Fiber Optic,20,Bank Withdrawal,109.9,3694.7,0.0,0,829.9499999999999,4524.65,0,111.96060606060605,4524.65,12,True,1,1,1,0,1,1,1,1,0,1,1,7
Female,60,0,0,3,,No,,0,Credit Card,19.95,58.0,0.0,0,8.07,66.07,0,19.333333333333332,66.07,1,False,1,0,0,0,0,0,0,0,0,0,0,1
Male,54,1,7,47,,Yes,Fiber Optic,13,Bank Withdrawal,87.2,4017.45,0.0,0,51.230000000000004,4068.68,0,85.47765957446808,4068.68,1,True,1,1,0,1,0,0,1,0,0,1,0,4
Male,42,3,2,62,,Yes,Fiber Optic,20,Credit Card,108.15,6825.65,0.0,0,109.12,6934.7699999999995,0,110.09112903225805,6934.7699999999995,24,True,1,0,1,1,1,1,1,1,1,1,0,9
Male,22,0,0,71,,Yes,Fiber Optic,48,Bank Withdrawal,116.3,8309.55,0.0,0,204.48,8514.029999999999,0,117.03591549295774,8514.029999999999,12,True,1,1,1,1,1,1,1,1,1,1,1,9
Male,71,0,8,7,,Yes,Fiber Optic,11,Bank Withdrawal,89.0,605.45,0.0,0,293.78999999999996,899.24,0,86.49285714285715,899.24,24,True,1,0,0,0,0,0,1,1,1,1,1,5
Female,56,2,6,27,Offer C,Yes,Fiber Optic,28,Credit Card,74.4,1972.35,0.0,0,1259.82,3232.17,0,73.05,3232.17,1,False,1,0,1,0,0,0,0,0,0,1,0,3
Male,33,0,0,2,,No,,0,Credit Card,20.05,33.7,0.0,0,3.62,37.32,0,16.85,37.32,1,False,1,0,0,0,0,0,0,0,0,0,0,1
Female,32,3,0,25,Offer C,Yes,Cable,75,Bank Withdrawal,35.05,844.45,0.0,0,0.0,844.45,0,33.778,844.45,24,False,0,0,1,0,0,1,0,0,0,1,0,3
Male,80,0,0,30,,Yes,DSL,5,Bank Withdrawal,74.75,2111.3,0.0,0,1158.3,3269.6000000000004,0,70.37666666666668,3269.6000000000004,12,True,1,0,1,1,0,0,1,1,0,1,1,6
Female,73,0,1,58,,Yes,Fiber Optic,19,Credit Card,105.5,6205.5,0.0,0,982.5200000000001,7188.02,1,106.99137931034483,7188.02,12,True,1,0,1,1,0,1,1,1,1,1,1,8
Male,26,0,1,10,Offer D,Yes,Fiber Optic,82,Bank Withdrawal,85.25,855.3,0.0,100,20.2,975.5,1,85.53,975.5,1,True,1,1,0,0,0,0,0,1,1,0,1,4
Female,59,0,0,9,,Yes,Fiber Optic,28,Credit Card,75.2,633.85,0.0,0,83.42999999999999,717.28,0,70.42777777777778,717.28,1,False,1,1,0,0,0,0,0,0,0,1,1,2
Female,78,0,1,6,,Yes,Fiber Optic,17,Bank Withdrawal,84.35,474.9,0.0,0,172.26,647.16,1,79.14999999999999,647.16,1,True,1,1,0,0,0,0,0,1,0,1,1,3
Female,47,1,7,69,,Yes,Fiber Optic,16,Bank Withdrawal,84.45,5848.6,0.0,40,2685.48,8574.08,0,84.76231884057971,8574.08,12,False,1,1,1,0,1,0,0,0,0,0,0,4
Female,68,0,0,66,,Yes,Fiber Optic,20,Bank Withdrawal,102.4,6471.85,0.0,0,689.6999999999999,7161.55,0,98.05833333333334,7161.55,24,True,1,1,1,0,0,0,1,1,1,1,1,6
Female,30,0,0,70,Offer A,Yes,Fiber Optic,52,Credit Card,115.55,8127.6,0.0,0,714.7,8842.300000000001,1,116.10857142857144,8842.300000000001,12,True,1,1,1,1,1,1,1,1,1,1,0,9
Male,62,0,0,25,Offer C,No,,0,Bank Withdrawal,25.3,676.35,0.0,0,139.25,815.6,1,27.054000000000002,815.6,12,False,1,1,0,0,0,0,0,0,0,0,0,1
Female,52,2,1,46,Offer B,No,,0,Credit Card,19.25,864.2,0.0,0,1119.1799999999998,1983.3799999999999,0,18.786956521739132,1983.3799999999999,24,False,1,0,0,0,0,0,0,0,0,0,1,1
Female,63,0,7,54,Offer B,Yes,Fiber Optic,26,Credit Card,114.65,6049.5,0.0,0,615.6,6665.1,0,112.02777777777777,6665.1,12,True,1,1,1,1,1,1,1,1,1,1,1,9
Female,54,0,0,15,,Yes,Fiber Optic,7,Bank Withdrawal,105.1,1582.75,0.0,0,335.85,1918.6,1,105.51666666666667,1918.6,1,True,1,0,1,0,1,1,1,1,1,1,0,8
Female,48,1,0,12,Offer D,No,,0,Bank Withdrawal,19.4,198.1,0.0,0,99.0,297.1,0,16.508333333333333,297.1,1,False,1,0,0,0,0,0,0,0,0,0,0,1
Female,51,0,0,22,,Yes,Cable,22,Bank Withdrawal,50.35,1098.85,0.0,0,0.0,1098.85,0,49.94772727272727,1098.85,1,True,0,0,0,1,0,0,1,1,1,1,1,5
Female,22,0,9,70,,Yes,Cable,85,Bank Withdrawal,57.8,4039.3,1.01,0,0.0,4038.29,0,57.70428571428572,4037.2799999999997,24,True,0,0,0,1,1,1,1,1,1,1,0,7
Male,52,0,0,30,Offer C,Yes,Fiber Optic,20,Credit Card,84.3,2438.6,0.0,130,741.9,3310.5,0,81.28666666666666,3310.5,1,False,1,0,1,1,1,0,0,0,0,0,1,5
Male,22,1,1,71,Offer A,Yes,Fiber Optic,59,Bank Withdrawal,100.55,7113.75,16.99,0,2012.14,9108.9,0,100.19366197183099,9091.91,12,True,1,1,0,1,0,0,1,1,1,1,0,6
Male,33,0,2,30,,No,,0,Credit Card,19.8,576.65,0.0,0,294.3,870.95,0,19.221666666666668,870.95,12,False,1,0,0,0,0,0,0,0,0,0,0,1
Male,26,0,5,4,Offer E,Yes,Fiber Optic,19,Bank Withdrawal,84.8,371.9,0.0,0,115.08,486.97999999999996,1,92.975,486.97999999999996,1,True,1,1,0,1,1,0,0,0,1,1,1,5
Male,58,0,0,2,Offer E,Yes,Fiber Optic,28,Bank Withdrawal,85.85,167.3,0.0,0,28.28,195.58,1,83.65,195.58,1,True,1,0,0,0,1,0,0,1,1,1,1,5
Male,22,1,0,10,,No,,0,Bank Withdrawal,19.95,219.5,0.0,0,78.60000000000001,298.1,0,21.95,298.1,12,False,1,0,0,0,0,0,0,0,0,0,1,1
Male,66,0,0,4,Offer E,Yes,Fiber Optic,29,Bank Withdrawal,75.35,273.4,0.0,0,145.6,419.0,0,68.35,419.0,12,False,1,0,1,0,0,0,0,0,0,1,0,3
Male,69,0,0,52,Offer B,Yes,DSL,19,Credit Card,48.8,2555.05,0.0,0,0.0,2555.05,0,49.135576923076925,2555.05,24,True,0,0,1,0,0,0,1,1,1,1,1,5
Male,25,0,0,5,,Yes,Cable,85,Bank Withdrawal,47.15,223.15,0.0,0,110.05000000000001,333.20000000000005,1,44.63,333.20000000000005,1,True,1,1,0,0,0,0,0,0,1,1,0,3
Male,30,3,1,8,Offer E,No,,0,Credit Card,20.15,165.5,0.0,0,22.96,188.46,0,20.6875,188.46,24,False,1,0,0,0,0,0,0,0,0,0,0,1
